EUBWID,label,year,classificationLabel,regime,classificationType
ukk4200-23100,Maidencombe,2021,Excellent,1976 directive,actual assessment
ukk4200-23200,Watcombe,2021,Closed,1976 directive,actual assessment
ukk4200-23300,Oddicombe,2021,Excellent,1976 directive,actual assessment
ukk4200-23400,Babbacombe,2021,Excellent,1976 directive,actual assessment
ukk4200-23501,Anstey's Cove (Torquay),2021,Excellent,1976 directive,actual assessment
ukk4200-23600,Meadfoot,2021,Excellent,1976 directive,actual assessment
ukk4200-23700,Beacon Cove,2021,Excellent,1976 directive,actual assessment
ukk4200-23800,Torre Abbey,2021,Excellent,1976 directive,actual assessment
ukk4200-23900,Hollicombe,2021,Good,1976 directive,actual assessment
ukk4200-24000,Paignton Preston Sands,2021,Excellent,1976 directive,actual assessment
ukk4200-24100,Paignton Paignton Sands,2021,Good,1976 directive,actual assessment
ukk4200-24200,Goodrington,2021,Good,1976 directive,actual assessment
ukk4200-24300,Broadsands,2021,Excellent,1976 directive,actual assessment
ukk4200-24500,Breakwater Beach (Shoalstone),2021,Excellent,1976 directive,actual assessment
ukk4200-24600,St Mary's Bay (Devon),2021,Excellent,1976 directive,actual assessment
