"Taxon ID","Species Name","Scientific Name Authorship","Nomenclatural Status","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Conservation","Invasive"
"NHMSYS0000530739","Erithacus rubecula","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula",,,
"NBNSYS0000000038","Larus argentatus","Pontoppidan, 1763",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus",,,
"NHMSYS0000530674","Turdus merula","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus merula",,,
"NHMSYS0000530309","Columba palumbus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus",,,
"NHMSYS0000530790","Prunella modularis","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Prunellidae","Prunella","Prunella modularis",,,
"NHMSYS0000530761","Pica pica","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica",,,
"NHMSYS0000530315","Corvus corone","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corone",,,
"NHMSYS0001688296","Cyanistes caeruleus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes caeruleus",,,
"NHMSYS0000530749","Phylloscopus collybita","(Vieillot, 1817)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus collybita",,,
"NBNSYS0000000036","Larus marinus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus marinus",,,
"NHMSYS0000530533","Parus major","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major",,,
"NHMSYS0000530247","Carduelis carduelis","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis",,,
"NHMSYS0000530671","Troglodytes troglodytes","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes troglodytes",,,
"NHMSYS0000530367","Fringilla coelebs","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs",,,
"NHMSYS0000530537","Passer domesticus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",,,
"NHMSYS0020962539","Chroicocephalus ridibundus","(Linnaeus, 1766)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus ridibundus",,,
"NBNSYS0000188659","Morus bassanus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Sulidae","Morus","Morus bassanus",,,
"NHMSYS0021537828","Gulosus aristotelis",,,"SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Gulosus aristotelis",,,
"NBNSYS0000000004","Phalacrocorax carbo","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo",,,
"NHMSYS0021002985","Chloris chloris","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris",,,
"NHMSYS0000530633","Sylvia atricapilla","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia atricapilla",,,
"NBNSYS0000000041","Uria aalge","(Pontoppidan, 1763)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge",,,
