EUBWID,label,sampleTime,intestinalEnterococciQualifier,intestinalEnterococciCount,escherichiaColiQualifier,escherichiaColiCount,entrovirusQualifier,entrovirusCount,totalColiformQualifier,totalColiformCount,faecalStreptococciQualifier,faecalStreptococciCount,faecalColiformQualifier,faecalColiformCount,salmonellaPresent,abnormalWeatherException,discountable,discountableReason,discounted
ukk4200-23100,Maidencombe,2022-05-03T13:12:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-05-18T14:29:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-05-29T14:18:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-06-11T10:00:00,<,10,=,82,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-06-28T15:00:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-07-13T10:00:00,<,10,=,18,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-07-26T11:20:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23100,Maidencombe,2022-08-10T12:00:00,<,10,=,36,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-05-03T13:40:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-05-18T15:07:00,=,18,<,10,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-05-29T14:44:00,<,10,=,64,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-06-11T10:40:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-06-28T12:25:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-07-13T10:25:00,=,64,=,18,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-07-26T11:40:00,=,27,<,10,"","","","","","","","","","",false,"",""
ukk4200-23300,Oddicombe,2022-08-10T11:25:00,=,18,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-05-03T13:55:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-05-18T15:14:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-05-23T12:04:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-05-29T15:06:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-06-07T11:05:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-06-11T10:25:00,=,27,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-06-22T13:00:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-06-28T12:40:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-07-08T12:45:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-07-13T10:15:00,=,18,=,55,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-07-21T12:45:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-07-26T11:55:00,<,10,=,36,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-08-03T14:45:00,<,10,=,200,"","","","","","","","","","",false,"",""
ukk4200-23400,Babbacombe,2022-08-10T10:45:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-05-04T11:47:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-05-19T13:25:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-06-03T12:20:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-06-18T14:45:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-06-29T18:20:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-07-17T15:00:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-07-27T10:25:00,<,10,=,18,"","","","","","","","","","",false,"",""
ukk4200-23501,Anstey's Cove (Torquay),2022-08-11T14:20:00,=,210,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-05-04T12:10:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-05-19T13:05:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-06-03T12:45:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-06-18T14:25:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-06-29T18:05:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-07-17T14:20:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-07-27T10:57:00,<,10,<,10,"","","","","","","","","","",false,"",""
ukk4200-23600,Meadfoot,2022-08-11T12:25:00,<,10,<,10,"","","","","","","","","","",false,"",""
